BR,HR,RRI,MOVING,DETECT,NO_ONE,STABLE
0.000120838,85.71,0.7,Y,Y,Y,Y
0.000140628,80,0.75,Y,Y,Y,Y
0.000157568,85.71,0.7,Y,Y,Y,Y
0.00017167,54.55,1.1,Y,Y,Y,Y
0.000182996,57.14,1.05,Y,Y,Y,Y
0.000191649,92.31,0.65,Y,Y,Y,Y
0.000197765,85.71,0.7,Y,Y,Y,Y
0.000201509,100,0.6,Y,Y,Y,Y
0.000203066,85.71,0.7,Y,Y,Y,Y
0.000202635,80,0.75,Y,Y,Y,Y
0.000200426,80,0.75,Y,Y,Y,Y
0.000196653,75,0.8,Y,Y,Y,Y
0.000191528,200,0.3,Y,Y,Y,Y
0.000185263,50,1.2,Y,Y,Y,Y
0.000178059,75,0.8,Y,Y,Y,Y
0.00017011,70.59,0.85,Y,Y,Y,Y
0.000161598,70.59,0.85,Y,Y,Y,Y
0.000152691,240,0.25,Y,Y,Y,Y
0.000143542,50,1.2,Y,Y,Y,Y
0.00013429,75,0.8,Y,Y,Y,Y
0.000125057,75,0.8,Y,Y,Y,Y
0.000115949,80,0.75,Y,Y,Y,Y
0.000107056,85.71,0.7,Y,Y,Y,Y
0.000142982,75,0.8,Y,Y,Y,Y
0.000222009,75,0.8,Y,Y,Y,Y
0.000294955,70.59,0.85,Y,Y,Y,Y
0.000308584,240,0.25,Y,Y,Y,Y
0.000318006,48,1.25,Y,Y,Y,Y
0.000414861,75,0.8,Y,Y,Y,Y
0.000572409,75,0.8,Y,Y,Y,Y
0.000703873,80,0.75,Y,Y,Y,Y
0.000783101,80,0.75,Y,Y,Y,Y
0.00084247,75,0.8,Y,Y,Y,Y
0.00091065,75,0.8,Y,Y,Y,Y
0.000991239,75,0.8,Y,Y,Y,Y
0.00107501,240,0.25,Y,Y,Y,Y
0.001138089,50,1.2,Y,Y,Y,Y
0.001165416,75,0.8,Y,Y,Y,Y
0.001172465,75,0.8,Y,Y,Y,Y
0.001183295,200,0.3,Y,Y,Y,Y
0.001208233,48,1.25,Y,Y,Y,Y
0.001200064,75,0.8,Y,Y,Y,Y
0.001082297,70.59,0.85,Y,Y,Y,Y
0.000902715,75,0.8,Y,Y,Y,Y
0.000794098,75,0.8,Y,Y,Y,Y
0.000771713,70.59,0.85,Y,Y,Y,Y
0.000750604,70.59,0.85,Y,Y,Y,Y
0.000679688,240,0.25,Y,Y,Y,Y
0.000569487,46.15,1.3,Y,Y,Y,Y
0.000451175,70.59,0.85,Y,Y,Y,Y
0.000342279,57.14,1.05,Y,Y,Y,Y
0.000245859,48,1.25,Y,Y,Y,Y
0.000146941,75,0.8,Y,Y,Y,Y
0.0000138,75,0.8,Y,Y,Y,Y
-0.000170221,80,0.75,Y,Y,Y,Y
-0.000383724,75,0.8,Y,Y,Y,Y
-0.00059667,70.59,0.85,Y,Y,Y,Y
-0.000813127,75,0.8,Y,Y,Y,Y
-0.001099625,80,0.75,Y,Y,Y,Y
-0.001492526,80,0.75,Y,Y,Y,Y
-0.001882427,70.59,0.85,Y,Y,Y,Y
-0.002162678,80,0.75,Y,Y,Y,Y
-0.002374617,240,0.25,Y,Y,Y,Y
-0.002602464,48,1.25,Y,Y,Y,Y
-0.002861682,80,0.75,Y,Y,Y,Y
-0.00311119,75,0.8,Y,Y,Y,Y
-0.003301616,85.71,0.7,Y,Y,Y,Y
-0.00340858,85.71,0.7,Y,Y,Y,Y
-0.003448144,80,0.75,Y,Y,Y,Y
-0.003451992,80,0.75,Y,Y,Y,Y
-0.003425658,85.71,0.7,Y,Y,Y,Y
-0.003365561,80,0.75,Y,Y,Y,Y
-0.003250097,75,0.8,Y,Y,Y,Y
-0.00304084,75,0.8,Y,Y,Y,Y
-0.002797046,75,0.8,Y,Y,Y,Y
-0.002612556,70.59,0.85,Y,Y,Y,Y
-0.002435611,75,0.8,Y,Y,Y,Y
-0.002149297,75,0.8,Y,Y,Y,Y
-0.001757568,75,0.8,Y,Y,Y,Y
-0.001367668,70.59,0.85,Y,Y,Y,Y
-0.001039647,70.59,0.85,Y,Y,Y,Y
-0.000752214,54.55,1.1,Y,Y,Y,Y
-0.000474399,48,1.25,Y,Y,Y,Y
-0.000195013,75,0.8,Y,Y,Y,Y
0.0000844,200,0.3,Y,Y,Y,Y
0.000347566,75,0.8,Y,Y,Y,Y
0.000562983,60,1,Y,Y,Y,Y
0.000729263,57.14,1.05,Y,Y,Y,Y
0.000891838,15.79,3.8,Y,Y,Y,Y
0.001044188,70.59,0.85,Y,Y,Y,Y
0.001128508,70.59,0.85,Y,Y,Y,Y
0.001176499,70.59,0.85,Y,Y,Y,Y
0.001271674,70.59,0.85,Y,Y,Y,Y
0.001409509,70.59,0.85,Y,Y,Y,Y
0.00152621,70.59,0.85,Y,Y,Y,Y
0.001602356,70.59,0.85,Y,Y,Y,Y
0.001668944,240,0.25,Y,Y,Y,Y
0.001741601,109.09,0.55,Y,Y,Y,Y
0.001807577,80,0.75,Y,Y,Y,Y
0.001863665,75,0.8,Y,Y,Y,Y
0.001921354,75,0.8,Y,Y,Y,Y
0.001983321,80,0.75,Y,Y,Y,Y
0.002038755,75,0.8,Y,Y,Y,Y
0.002091337,60,1,Y,Y,Y,Y
0.002136654,109.09,0.55,Y,Y,Y,Y
0.002122457,75,0.8,Y,Y,Y,Y
0.002051721,70.59,0.85,Y,Y,Y,Y
0.002025294,70.59,0.85,Y,Y,Y,Y
0.002079327,54.55,1.1,Y,Y,Y,Y
0.002137292,48,1.25,Y,Y,Y,Y
0.002138253,75,0.8,Y,Y,Y,Y
-0.002648529,60,1,Y,Y,Y,Y
-0.002717092,120,0.5,Y,Y,Y,Y
-0.002755289,75,0.8,Y,Y,Y,Y
-0.002770995,75,0.8,Y,Y,Y,Y
-0.002751959,80,0.75,Y,Y,Y,Y
-0.002652565,75,0.8,Y,Y,Y,Y
-0.002496385,75,0.8,Y,Y,Y,Y
-0.002387322,75,0.8,Y,Y,Y,Y
-0.002315534,54.55,1.1,Y,Y,Y,Y
-0.002160233,50,1.2,Y,Y,Y,Y
-0.00188893,80,0.75,Y,Y,Y,Y
-0.001585456,70.59,0.85,Y,Y,Y,Y
-0.001310813,75,0.8,Y,Y,Y,Y
-0.001054462,85.71,0.7,Y,Y,Y,Y
-0.000791172,80,0.75,Y,Y,Y,Y
-0.000509551,75,0.8,Y,Y,Y,Y
-0.000217389,75,0.8,Y,Y,Y,Y
0.0000473,200,0.3,Y,Y,Y,Y
0.000249183,120,0.5,Y,Y,Y,Y
0.000406174,75,0.8,Y,Y,Y,Y
0.000565683,75,0.8,Y,Y,Y,Y
0.000700741,70.59,0.85,Y,Y,Y,Y
0.000752658,70.59,0.85,Y,Y,Y,Y
0.000790649,109.09,0.55,Y,Y,Y,Y
0.000908022,63.16,0.95,Y,Y,Y,Y
0.001058942,75,0.8,Y,Y,Y,Y
0.001162729,70.59,0.85,Y,Y,Y,Y
0.001228258,60,1,Y,Y,Y,Y
0.001304254,50,1.2,Y,Y,Y,Y
0.001394635,75,0.8,Y,Y,Y,Y
0.001469535,75,0.8,Y,Y,Y,Y
0.001529408,75,0.8,Y,Y,Y,Y
0.001601601,75,0.8,Y,Y,Y,Y
0.001684669,80,0.75,Y,Y,Y,Y
0.001763385,70.59,0.85,Y,Y,Y,Y
0.001821463,70.59,0.85,Y,Y,Y,Y
0.001816419,200,0.3,Y,Y,Y,Y
0.001760744,109.09,0.55,Y,Y,Y,Y
0.001749535,200,0.3,Y,Y,Y,Y
0.001810662,52.17,1.15,Y,Y,Y,Y
