State,HR,BR,HRV,HRwfm,BRwfm
3,60,11,1,0.06,-0.03
3,60,11,1,-0.05,-0.15
3,60,11,1,-0.06,-0.16
3,60,11,1,-0.06,-0.16
3,60,11,1,-0.04,-0.16
3,60,11,1,0.02,-0.16
3,60,11,1,0.09,-0.15
3,60,11,1,0.02,-0.15
3,60,11,1,-0.06,-0.14
3,60,11,1,0.08,-0.16
3,60,11,1,0,-0.12
3,60,11,1,-0.07,-0.13
3,60,11,1,0.02,-0.05
3,60,11,1,-0.04,-0.06
3,60,11,1,-0.06,-0.08
3,60,11,1,0.06,-0.04
3,60,11,1,0.05,-0.1
3,60,11,1,0.07,-0.11
3,60,11,1,-0.02,-0.09
3,60,11,1,0,-0.06
3,60,11,1,-0.03,-0.04
3,60,11,1,-0.06,-0.04
3,60,11,1,-0.06,-0.04
3,60,11,1,-0.01,-0.04
3,60,11,1,0.07,-0.05
3,60,11,1,0.06,-0.05
3,60,11,1,0.03,-0.06
3,60,11,1,-0.02,-0.07
3,60,11,1,0.05,-0.04
3,60,11,1,-0.02,-0.08
3,60,11,1,-0.01,-0.14
3,60,11,1,0.02,-0.14
3,60,11,1,0.03,-0.13
3,60,11,1,-0.04,-0.15
3,60,11,1,0.01,-0.11
3,60,11,1,0.02,-0.1
3,60,11,1,0.01,-0.09
3,60,11,1,0.02,-0.12
3,60,11,1,-0.03,-0.08
4,65,10,0.9,-0.04,-0.09
4,65,10,0.9,0.14,-0.14
4,65,10,0.9,-0.07,-0.1
4,65,10,0.9,-0.1,-0.12
4,65,10,0.9,-0.13,-0.12
4,65,10,0.9,-0.13,-0.13
4,65,10,0.9,-0.11,-0.14
4,65,10,0.9,-0.06,-0.14
4,65,10,0.9,0.01,-0.15
4,65,10,0.9,0.09,-0.15
4,65,10,0.9,0.12,-0.13
4,65,10,0.9,0.03,-0.11
4,65,10,0.9,-0.02,-0.1
4,65,10,0.9,-0.06,-0.08
3,60,11,1,-0.05,-0.07
3,60,11,1,-0.01,-0.06
3,60,11,1,0.02,-0.05
3,60,11,1,0.03,-0.05
3,60,11,1,0.01,-0.04
4,65,10,0.9,0.08,-0.12
4,65,10,0.9,0.01,0.03
4,65,10,0.9,0.03,0.04
4,65,10,0.9,0.01,0.04
4,65,10,0.9,-0.06,0.05
4,70,10,0.8,0,0.06
4,70,10,0.8,-0.08,0.06
4,70,10,0.8,-0.02,0.06
4,65,10,0.9,0.01,0.02
4,65,10,0.9,-0.1,0.05
4,65,10,0.9,0.05,0.02
4,65,10,0.9,0.06,-0.04
4,65,10,0.9,0.08,0
4,65,10,0.9,0.01,-0.07
4,65,10,0.9,0.06,-0.06
4,65,10,0.9,0.09,-0.05
4,65,10,0.9,-0.02,-0.08
4,65,10,0.9,0.01,-0.03
4,65,10,0.9,0,-0.02
4,65,10,0.9,0.03,-0.01
4,65,10,0.9,0.09,0.01
4,70,10,0.8,-0.04,0.09
4,70,10,0.8,0.04,0.13
4,70,10,0.8,0,0.13
4,70,10,0.8,-0.06,0.12
4,70,10,0.8,-0.07,0.12
4,70,10,0.8,-0.04,0.11
4,70,10,0.8,-0.01,0.11
4,70,10,0.8,-0.02,0.1
4,70,10,0.8,-0.02,0.09
4,70,10,0.8,0.04,0.13
4,70,10,0.8,0.07,0.08
4,70,10,0.8,-0.02,0.07
4,70,10,0.8,-0.03,0.07
4,70,10,0.8,-0.02,0.07
4,70,10,0.8,0.02,0.07
4,70,10,0.8,0.04,0.08
4,70,10,0.8,0.01,0.07
4,70,10,0.8,0.01,0.07
4,70,10,0.8,0.05,0.08
4,70,10,0.8,0.03,0.07
4,75,10,0.7,-0.02,0.1
4,75,10,0.7,0.08,0.04
4,75,10,0.7,0.1,0.05
4,75,10,0.7,0.07,0.05
4,75,10,0.7,0.02,0.06
4,75,10,0.7,-0.03,0.07
4,75,10,0.7,-0.07,0.08
4,75,10,0.7,-0.09,0.09
4,75,10,0.7,-0.06,0.1
4,75,10,0.7,0.01,0.04
4,75,10,0.7,0,0.11
4,70,10,0.8,0,0.11
4,70,10,0.8,0.01,0.12
4,70,10,0.8,0.03,0.12
4,70,10,0.8,0.06,0.12
4,70,10,0.8,0.05,0.13
4,70,10,0.8,0.02,0.13
4,70,10,0.8,0,0.13
4,70,10,0.8,0.01,0.13
4,70,10,0.8,0,0.11
4,75,10,0.7,-0.01,-0.02
4,75,10,0.7,-0.03,-0.02
4,75,10,0.7,-0.03,-0.03
4,75,10,0.7,0.02,-0.01
4,75,10,0.7,-0.03,-0.05
4,75,10,0.7,0.01,-0.06
4,75,10,0.7,0.06,-0.07
4,75,10,0.7,-0.03,-0.04
4,75,10,0.7,0.03,-0.01
4,75,10,0.7,-0.03,-0.03
4,75,10,0.7,0.01,0
4,75,10,0.7,-0.08,0.03
4,75,10,0.7,-0.07,0.02
4,75,10,0.7,-0.04,0.02
4,75,10,0.7,-0.01,0.01
4,75,10,0.7,-0.05,0.03
4,75,10,0.7,0.02,0.01
4,75,10,0.7,0.03,0
4,75,10,0.7,0.02,0
4,75,10,0.7,0.02,-0.01
4,80,11,0.7,-0.12,-0.15
4,80,11,0.7,-0.12,-0.05
4,80,11,0.7,-0.12,-0.07
4,80,11,0.7,-0.05,-0.09
4,80,11,0.7,0.01,-0.1
4,80,11,0.7,0.02,-0.12
4,80,11,0.7,-0.02,-0.13
4,80,11,0.7,-0.09,-0.14
4,80,11,0.7,-0.09,-0.16
4,80,11,0.7,0.01,-0.03
4,80,11,0.7,0.1,-0.16
4,75,10,0.7,0.09,-0.08
4,80,11,0.7,0.07,-0.09
4,80,11,0.7,0.01,-0.1
4,80,11,0.7,-0.06,-0.11
4,80,11,0.7,0.01,-0.16
4,80,11,0.7,-0.02,-0.14
4,80,11,0.7,0.07,-0.15
4,80,11,0.7,0.13,-0.15
4,80,11,0.7,-0.07,-0.13
4,80,11,0.7,-0.26,0.93
4,81,11,0.7,0.3,1.68
4,81,11,0.7,0.26,1.59
4,81,11,0.7,0.25,1.51
4,81,11,0.7,0.25,1.42
4,81,11,0.7,0.22,1.33
4,81,11,0.7,0.11,1.24
4,80,11,0.7,-0.06,1.14
4,80,11,0.7,-0.22,1.04
4,81,11,0.7,0.34,1.77
4,80,11,0.7,-0.19,0.82
4,80,11,0.7,-0.19,0.59
4,80,11,0.7,-0.35,0.48
4,80,11,0.7,-0.41,0.38
4,80,11,0.7,-0.22,0.29
4,80,11,0.7,0.15,0.21
4,80,11,0.7,0.43,0.13
4,80,11,0.7,0.45,0.06
4,80,11,0.7,0.25,0.01
4,80,11,0.7,-0.12,0.7
4,81,11,0.7,0.82,1.92
4,81,11,0.7,1.31,1.74
4,81,11,0.7,1.3,1.55
4,81,11,0.7,-0.04,2.07
4,81,11,0.7,0.77,1.14
4,81,11,0.7,0.62,0.94
4,81,11,0.7,0.41,0.74
4,81,11,0.7,1.02,1.35
4,81,11,0.7,-0.75,2.2
4,81,11,0.7,-0.04,0.54
4,81,11,0.7,-0.6,2.34
4,81,11,0.7,0.3,1.86
4,81,11,0.7,0.12,1.95
4,81,11,0.7,-0.16,2.03
4,81,11,0.7,-0.37,2.11
4,81,11,0.7,-0.89,2.29
4,81,11,0.7,-0.33,2.26
4,81,11,0.7,-0.24,2.31
4,81,11,0.7,-0.31,2.34
4,81,11,0.7,-0.41,2.19
4,82,12,0.8,-0.33,-2.84
4,82,12,0.8,-0.13,-2.86
4,82,12,0.8,-0.01,-2.85
4,82,12,0.8,0.19,-2.81
4,82,12,0.8,0.52,-2.73
4,82,12,0.8,0.79,-2.62
4,82,12,0.8,0.78,-2.47
4,82,12,0.8,0.13,-2.12
4,82,12,0.8,-0.07,-1.91
4,82,12,0.8,0.48,-2.31
4,82,12,0.8,0.04,-1.47
4,81,11,0.7,-0.68,0.33
4,81,11,0.7,-1.18,0.12
4,81,11,0.7,-1.24,-0.11
4,81,11,0.7,-0.88,-0.34
4,82,12,0.8,-0.07,-1.69
4,82,12,0.8,-0.04,-0.8
4,82,12,0.8,0.13,-1.02
4,82,12,0.8,0.14,-1.24
4,81,11,0.7,-0.39,-0.57
